,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-07-06,603.5519248666886,480.5552537922519,703.2262711189447,603.5519248666886,603.5519248666886,-8.923456450997401,-8.923456450997401,-8.923456450997401,-8.923456450997401,-8.923456450997401,-8.923456450997401,0.0,0.0,0.0,594.6284684156913
1,2021-07-07,606.6572259387125,495.61872644093285,709.6180862530622,606.6572259387125,606.6572259387125,-6.8349517352565625,-6.8349517352565625,-6.8349517352565625,-6.8349517352565625,-6.8349517352565625,-6.8349517352565625,0.0,0.0,0.0,599.8222742034559
2,2021-07-08,609.7625270107362,486.19423447593124,706.5371308020958,609.7625270107362,609.7625270107362,-15.36202992170978,-15.36202992170978,-15.36202992170978,-15.36202992170978,-15.36202992170978,-15.36202992170978,0.0,0.0,0.0,594.4004970890264
3,2021-07-09,612.8678280827601,478.1761570207994,702.9005188909266,612.8678280827601,612.8678280827601,-19.732686403125523,-19.732686403125523,-19.732686403125523,-19.732686403125523,-19.732686403125523,-19.732686403125523,0.0,0.0,0.0,593.1351416796346
4,2021-07-12,622.1837312988315,507.9902222779824,718.8066632407587,622.1837312988315,622.1837312988315,-3.6745965719748948,-3.6745965719748948,-3.6745965719748948,-3.6745965719748948,-3.6745965719748948,-3.6745965719748948,0.0,0.0,0.0,618.5091347268566
5,2021-07-13,625.2890323708554,509.2422348298967,729.7544965150478,625.2890323708554,625.2890323708554,-8.923456450983311,-8.923456450983311,-8.923456450983311,-8.923456450983311,-8.923456450983311,-8.923456450983311,0.0,0.0,0.0,616.3655759198721
6,2021-07-14,628.3943334428791,513.78069433409,731.4563700639674,628.3943334428791,628.3943334428791,-6.834951735244757,-6.834951735244757,-6.834951735244757,-6.834951735244757,-6.834951735244757,-6.834951735244757,0.0,0.0,0.0,621.5593817076343
7,2021-07-15,631.4996345149029,519.5061450430725,721.9096836675665,631.4996345149029,631.4996345149029,-15.362029921659355,-15.362029921659355,-15.362029921659355,-15.362029921659355,-15.362029921659355,-15.362029921659355,0.0,0.0,0.0,616.1376045932436
8,2021-07-16,634.6049355869267,496.8404610408288,731.6020361798794,634.6049355869267,634.6049355869267,-19.732686403096203,-19.732686403096203,-19.732686403096203,-19.732686403096203,-19.732686403096203,-19.732686403096203,0.0,0.0,0.0,614.8722491838305
9,2021-07-19,643.9208389204472,518.7462292154946,746.799617529802,643.9208389204472,643.9208389204472,-3.674596571890694,-3.674596571890694,-3.674596571890694,-3.674596571890694,-3.674596571890694,-3.674596571890694,0.0,0.0,0.0,640.2462423485565
10,2021-07-20,647.0261400316207,535.1610941402704,750.9538999725974,647.0261400316207,647.0261400316207,-8.92345645099804,-8.92345645099804,-8.92345645099804,-8.92345645099804,-8.92345645099804,-8.92345645099804,0.0,0.0,0.0,638.1026835806226
11,2021-07-21,650.1314411427941,537.6387612440766,751.9849953280677,650.1314411427941,650.1314411427941,-6.834951735253018,-6.834951735253018,-6.834951735253018,-6.834951735253018,-6.834951735253018,-6.834951735253018,0.0,0.0,0.0,643.296489407541
12,2021-07-22,653.2367422539676,527.988167098726,739.9775340602763,653.2367422539676,653.2367422539676,-15.362029921677848,-15.362029921677848,-15.362029921677848,-15.362029921677848,-15.362029921677848,-15.362029921677848,0.0,0.0,0.0,637.8747123322897
13,2021-07-23,656.3420433651411,531.3816658620461,746.5752696177365,656.3420433651411,656.3420433651411,-19.73268640307955,-19.73268640307955,-19.73268640307955,-19.73268640307955,-19.73268640307955,-19.73268640307955,0.0,0.0,0.0,636.6093569620615
14,2021-07-26,665.6579466986615,543.0823545248018,770.1284948290896,665.6579466986615,665.6579466986615,-3.6745965718865334,-3.6745965718865334,-3.6745965718865334,-3.6745965718865334,-3.6745965718865334,-3.6745965718865334,0.0,0.0,0.0,661.9833501267749
15,2021-07-27,668.763247809835,542.1330619139333,764.4399602748887,668.763247809835,668.763247809835,-8.92345645095513,-8.92345645095513,-8.92345645095513,-8.92345645095513,-8.92345645095513,-8.92345645095513,0.0,0.0,0.0,659.8397913588799
16,2021-07-28,671.8685489210085,553.2657130755179,772.3842911624578,671.8685489210085,671.8685489210085,-6.834951735240994,-6.834951735240994,-6.834951735240994,-6.834951735240994,-6.834951735240994,-6.834951735240994,0.0,0.0,0.0,665.0335971857675
17,2021-07-29,674.9738500122434,547.1400888216214,772.9033433779226,674.9738500122434,674.9738500122434,-15.362029921680854,-15.362029921680854,-15.362029921680854,-15.362029921680854,-15.362029921680854,-15.362029921680854,0.0,0.0,0.0,659.6118200905626
18,2021-07-30,678.0791511034784,542.411483064552,767.0706239467007,678.0791511034784,678.0791511034784,-19.73268640317523,-19.73268640317523,-19.73268640317523,-19.73268640317523,-19.73268640317523,-19.73268640317523,0.0,0.0,0.0,658.3464647003032
19,2021-08-02,687.3950543771833,576.2842479612871,791.265880829905,687.3950543771833,687.3950543771833,-3.6745965719456555,-3.6745965719456555,-3.6745965719456555,-3.6745965719456555,-3.6745965719456555,-3.6745965719456555,0.0,0.0,0.0,683.7204578052376
20,2021-08-03,690.5003554684182,571.8716662516183,800.2150545493218,690.5003554684182,690.5003554684182,-8.92345645096986,-8.92345645096986,-8.92345645096986,-8.92345645096986,-8.92345645096986,-8.92345645096986,0.0,0.0,0.0,681.5768990174483
